CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
54B,Omari Gudul,Center,2.08,18/05/1994,Congo (Kinshasa),http://www.acb.com/jugador.php?id=54B
53T,Dominik Mavra,Guard,1.95,15/06/1994,Croatia,http://www.acb.com/jugador.php?id=53T
53C,Lovro Mazalin,Forward,2.04,28/06/1997,Croatia,http://www.acb.com/jugador.php?id=53C
566,Chasson Randle,Guard,1.88,05/02/1993,United States,http://www.acb.com/jugador.php?id=566
54M,Patricio Garino,Forward,1.96,17/05/1993,Italy,http://www.acb.com/jugador.php?id=54M
55B,Xabier Beraza,Center,1.95,26/01/1999,Spain,http://www.acb.com/jugador.php?id=55B
54D,Jordan McRae,Guard,1.97,28/03/1991,United States,http://www.acb.com/jugador.php?id=54D
56C,Chris Copeland,Center,2.03,17/03/1984,United States,http://www.acb.com/jugador.php?id=56C
56D,John Jenkins,Guard,1.93,06/05/1991,United States,http://www.acb.com/jugador.php?id=56D
55Y,Miguel Gonzalez,Guard,2.03,20/03/1999,Spain,http://www.acb.com/jugador.php?id=55Y
51K,Olek Balcerowski,Center,2.16,19/11/2000,Poland,http://www.acb.com/jugador.php?id=51K
56F,Kevin Jones,Center,2.03,25/08/1989,United States,http://www.acb.com/jugador.php?id=56F
526,Joel Parra,Forward,2.01,04/04/2000,Spain,http://www.acb.com/jugador.php?id=526
56E,Devin Thomas,Center,2.04,17/05/1994,United States,http://www.acb.com/jugador.php?id=56E
55I,Mads Bonde Sturup,Guard,1.97,24/05/1997,Denmark,http://www.acb.com/jugador.php?id=55I
56G,Rade Zagorac,Forward,2.05,12/08/1995,Serbia,http://www.acb.com/jugador.php?id=56G
SCH,Nick Spires,Center,2.09,25/02/1994,Sweden,http://www.acb.com/jugador.php?id=SCH
52B,Adams Sola,Guard,1.93,27/07/2000,Spain,http://www.acb.com/jugador.php?id=52B
54W,Mikel Sanz,Center,1.95,01/02/1999,Spain,http://www.acb.com/jugador.php?id=54W
XFC,Luis Ferrando,Guard,1.85,23/04/1996,Spain,http://www.acb.com/jugador.php?id=XFC
56I,Landing Sane,Center,2.11,19/12/1990,France,http://www.acb.com/jugador.php?id=56I
FXJ,Rodions Kurucs,Forward,2.03,02/05/1998,Latvia,http://www.acb.com/jugador.php?id=FXJ
56H,Nico Brussino,Forward,2.01,02/03/1993,Argentina,http://www.acb.com/jugador.php?id=56H
